# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
1.6625e-05      	U               	(-6.84648519e-01 1.31427029e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(6.42251773e+00 5.59262997e-15 5.59262997e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
1.6625e-05      	T               	2.85387999e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00819756e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.775e-05       	p               	9.96879549e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(3.07500000e-01 1.00000000e-01 1.00000000e-01)	1
1.775e-05       	U               	(-7.32128613e-01 1.31508149e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(8.64068209e+00 6.31565976e-15 6.31565976e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
1.775e-05       	T               	2.85391467e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00817996e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
1.8875e-05      	p               	9.96686263e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.50300000e-01 1.00000000e-01 1.00000000e-01)	0
1.8875e-05      	U               	(-7.79626469e-01 1.31538605e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.09557367e+01 6.64665850e-15 6.64665850e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
1.8875e-05      	T               	2.85394277e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00815503e+02	(5.01300000e-01 1.00000000e-01 1.00000000e-01)	2
2e-05           	p               	9.96493116e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.79000000e-02 1.00000000e-01 1.00000000e-01)	0
2e-05           	U               	(-8.27133000e-01 1.31544110e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.32211110e+01 6.56078007e-15 6.56078007e-15)	(4.93900000e-01 1.00000000e-01 1.00000000e-01)	1
2e-05           	T               	2.85397116e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00814252e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.125e-05       	p               	9.96271078e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.89000000e-02 1.00000000e-01 1.00000000e-01)	0
2.125e-05       	U               	(-8.79296665e-01 1.44362822e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.08332513e+01 3.39103876e-15 1.01731163e-14)	(4.93100000e-01 1.00000000e-01 1.00000000e-01)	1
2.125e-05       	T               	2.85400228e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00813505e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.25e-05        	p               	9.96052358e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(2.48300000e-01 1.00000000e-01 1.00000000e-01)	0
2.25e-05        	U               	(-9.31767556e-01 1.45175410e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.31455837e+01 3.34786585e-15 1.00435976e-14)	(4.93100000e-01 1.00000000e-01 1.00000000e-01)	1
2.25e-05        	T               	2.85403150e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00811547e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.375e-05       	p               	9.95835801e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.40900000e-01 1.00000000e-01 1.00000000e-01)	0
2.375e-05       	U               	(-9.84407781e-01 1.45610189e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.20274041e+01 6.41487589e-15 6.41487589e-15)	(4.92500000e-01 1.00000000e-01 1.00000000e-01)	1
2.375e-05       	T               	2.85404767e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00808715e+02	(5.01500000e-01 1.00000000e-01 1.00000000e-01)	2
2.5e-05         	p               	9.95620556e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.40700000e-01 1.00000000e-01 1.00000000e-01)	0
2.5e-05         	U               	(-1.03716329e+00 1.45419779e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.30969460e+01 6.21912411e-15 6.21912411e-15)	(4.92300000e-01 1.00000000e-01 1.00000000e-01)	1
2.5e-05         	T               	2.85405650e+02	(4.99900000e-01 1.00000000e-01 1.00000000e-01)	1	3.00807086e+02	(5.01700000e-01 1.00000000e-01 1.00000000e-01)	2
2.625e-05       	p               	9.95405758e+04	(1.00000000e+00 1.00000000e-01 1.00000000e-01)	3	1.20000000e+05	(1.40300000e-01 1.00000000e-01 1.00000000e-01)	0
2.625e-05       	U               	(-1.08996052e+00 1.45479610e-16 0.00000000e+00)	(1.00000000e-04 1.00000000e-01 1.00000000e-01)	0	(1.50925043e+01 5.81155845e-15 5.81155845e-15)	(4.92300000e-01 1.00000000e-01 1.00000000e-01)	1
